title,price_pln,year,mileage_km,location,url,date_scraped_utc,first_seen_utc
Honda CR-V,214700,2025,4000,Wieliczka (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3pIg.html,2026-05-25T11:18:00+00:00,2026-05-10T09:03:02+00:00
Honda CR-V,204900,2024,10212,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3q0X.html,2026-05-31T09:52:05+00:00,2026-05-10T09:03:02+00:00
Honda CR-V,204900,2025,17219,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3pBD.html,2026-06-02T11:26:53+00:00,2026-05-09T08:49:30+00:00
Honda CR-V,187700,2024,19003,Dębica (Podkarpackie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I1lt1.html,2026-05-31T09:52:05+00:00,2026-04-20T09:16:01+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,204900,2025,12907,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I09Wn.html,2026-04-18T08:05:06+00:00,2026-04-09T08:26:30+00:00
Honda CR-V,204900,2025,5233,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I00MH.html,2026-04-20T09:16:01+00:00,2026-04-08T08:19:20+00:00
Honda CR-V,204900,2025,12358,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HV731.html,2026-04-24T09:08:22+00:00,2026-04-02T08:15:01+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,209900,2025,10155,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HVj2v.html,2026-04-30T09:25:10+00:00,2026-03-30T19:35:41+00:00
Honda CR-V,199900,2024,8097,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HUwis.html,2026-05-07T09:45:03+00:00,2026-03-30T19:35:41+00:00
Honda CR-V,204900,2025,11484,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HV6ng.html,2026-05-31T09:52:05+00:00,2026-03-30T19:35:41+00:00
Honda CR-V,178600,2024,34100,Wojcieszków (Lubelskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HQS81.html,2026-03-31T08:14:39+00:00,2026-03-30T19:35:41+00:00
Honda CR-V,204900,2025,17821,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HV6ZI.html,2026-05-31T09:52:05+00:00,2026-03-30T19:35:41+00:00
Honda CR-V,199900,2024,23000,Siedlce (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HVhQq.html,2026-05-25T11:18:00+00:00,2026-03-30T19:35:41+00:00
